Loop ID,Segment ID,Segment Name,Element Description,Enumeration Values,Enrollment Sparse_Field Name,Mapping Logic,Custom,Comments
2320,REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,"60 Account Suffix Code
6P Group Number
SY Social Security Number
ZZ Mutually Defined","/enrollment/member/cobPolicy/subscriberIdList/identificationTypeCode/codeEntry

/enrollment/member/cobPolicy/subscriberIdList/identificationTypeCode/codeSetName   - ""IdentificationType""","If REF01 is 6P, populate /codeEntry as 6P
If REF01 is SY, populate /codeEntry as 34
If REF01 is ZZ, populate /codeEntry as ZZ",,
2320,REF02,Reference Identification,Member Group or Policy Number,,/enrollment/member/cobPolicy/subscriberIdList/identificationNumber,,,
2320,DTP,Coordination of Benefits Eligibility Dates,,,,,,
2320,DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time","344 Coordination of Benefits Begin
345 Coordination of Benefits End",,,,
2320,DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",D8 : CCYYMMDD,,,,
2320,DTP03,Date Time Period,Coordination of Benefit Date,,/enrollment/member/cobPolicy/dateRanges/startDate,"If DTP01 = 344, Date format:YYYY-MM-DD",,
,,,,,/enrollment/member/cobPolicy/dateRanges/endDate,"If DTP01 = 345, Date format:YYYY-MM-DD",,
2330 — COORDINATION OF BENEFITS RELATED ENTITY Loop Repeat: 3,,,,,,,,
2330,NM1,COORDINATION OF BENEFITS RELATED ENTITY,,,,,,
2330,NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",36: Employer; GW: Group; IN: Insurer,,,,
2330,NM102,Entity Type Qualifier,Code qualifying the type of entity,2 Non-Person Entity,,,,
2330,NM103,Member Last Name,Coordination of Benefits Insurer Name,,/enrollment/member/cobPolicy/otherInsuranceCompanyName,If NM101 is IN,,
2330,NM108,ID Code Qualifier,Code designating the system/method of code structure used for Identification Code,"FI Federal Taxpayer’s Identification Number
NI National Association of Insurance Commissioners
(NAIC) Identification
XV Centers for Medicare and Medicaid Services PlanID","/enrollment/member/cobPolicy/carrierIds/identificationTypeCode/codeSetName
Hardcode ""IdentificationType"" value in above tag

/enrollment/member/cobPolicy/carrierIds/identificationTypeCode/codeEntry","If NM108 is ""NI"" - then map as codenentry as ""9""
else if  NM108 is ""FI""- then map as codenentry as ""FI""
else if  NM108 is ""XV""- then map as codenentry as ""18""",,
2330,NM109,ID Code,"Coordination of Benefits Insurer Identification
Code",,/enrollment/member/cobPolicy/carrierIds/identificationNumber,,,
2330,N3,COORDINATION OF BENEFITS RELATED ENTITY ADDRESS,,,,,,
2330,N301,Member Address Line,,,/enrollment/member/cobPolicy/correspondenceInfo/addressInfo/postalAddress/address,If 2330.NM101 is IN,,
2330,N302,Member Address Line,,,/enrollment/member/cobPolicy/correspondenceInfo/addressInfo/postalAddress/address2,If 2330.NM101 is IN,,
2330,N4,"COORDINATION OF BENEFITS RELATED ENTITY OTHER INSURANCE COMPANY CITY, STATE, ZIPCODE",,,,,,
2330,N401,Member City Name,,,/enrollment/member/cobPolicy/correspondenceInfo/addressInfo/postalAddress/cityName,If 2330.NM101 is IN,,
2330,N402,Member State Code,,,/enrollment/member/cobPolicy/correspondenceInfo/addressInfo/postalAddress/stateCode,If 2330.NM101 is IN,,
2330,N403,Member ZIP Code,,,"Byte 1-5
/enrollment/member/cobPolicy/correspondenceInfo/addressInfo/postalAddress/zipCode

Byte 6-9
/enrollment/member/cobPolicy/correspondenceInfo/addressInfo/postalAddress/zipExtensionCode",If 2330.NM101 is IN,,
2330,N404,Member Country Code,,,/enrollment/member/cobPolicy/correspondenceInfo/addressInfo/postalAddress/countryCode/countryCode,If 2330.NM101 is IN,,
2330,N407,Country Subdivision Code,,,,,,
2700 — ADDITIONAL REPORTING CATEGORIES LOOP,,,,,,,,
2700,LS,ADDITIONAL REPORTING CATEGORIES LOOP,,,"Reporting Category can be mapped to /qualifierlist
/enrollment/member/qualifierList/qualifierValue  /enrollment/member/qualifierList/qualifierName
/enrollment/member/qualifierList/startDate
/enrollment/member/qualifierList/endDate
But this is customisable and needs to be defined  handled at the implementaion side",,,
,LS01,Loop Identifier Code,Use the value 2700,,,,,
2710,LX,MEMBER REPORTING CATEGORIES,,,,,,
,LX01,Assigned Number,"Use this sequential non-negative integer for LX loops for this
member’s additional reporting categories.",,,"counter value should get incremented, starting from 1",,
2750 — REPORTING CATEGORY Loop Repeat: 1,,,,,,,,
2750,N1,REPORTING CATEGORY,,,,,,
2750,N101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an",75: Participant,"/enrollment/member/reportingCategory[@counter=""?""]/entityIdentifierCode",,,
2750,N102,Name,Member Reporting Category Name,,"/enrollment/member/reportingCategory[@counter=""?""]/reportingCategoryName",,,
2750,REF,REPORTING CATEGORY REFERENCE,,,,,,
2750,REF01,,Code qualifying the Reference Identification,"00 Contracting District Number
17 Client Reporting Category
18 Plan Number
19 Division Identifier
26 Union Number
3L Branch Identifier
6M Application Number
9V Payment Category
9X Account Category
GE Geographic Number
LU Location Number
PID Program Identification Number
XX1 Special Program Code
XX2 Service Area Code
YY Geographic Key
ZZ Mutually Defined","/enrollment/member/reportingCategory[@counter=""?""]/referenceQualifierIdentifier","""@counter"" - this attribute has to be incremented based on the number of reporting catergories 2750 (for example 1,2,3 etc)",,
2750,REF02,Reference Identification,Member Reporting Category Reference ID,,"/enrollment/member/reportingCategory[@counter=""?""]/referenceId","""@counter"" - this attribute has to be incremented based on the number of reporting catergories 2750 (for example 1,2,3 etc)",,
2750,DTP,REPORTING CATEGORY DATE,,,,,,
2750,DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",007 = Effective,,,,
2750,DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format","D8: Date Expressed in Format CCYYMMDD
RD8: Range of Dates Expressed in Format CCYYMMDDCCYYMMDD",,,,
2750,DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times / Member Reporting Category Effective Date(s)",,"1) /enrollment/member/reportingCategory[@counter=""?""]/startDate","When DTP02 = D8, Populate DTP03 in
the format of YYYY-MM-DD
When DTP02 = RD8,
Populate the First set of date in DTP03 before the hyphen (-), in the
the format of YYYY-MM-DD",,
,,,,,"/enrollment/member/reportingCategory[@counter=""?""]/endDate",,,
n102,,,,,"enrollment/member/medicareHICN/transplantDateRanges/transplantDateRange/startDate

enrollment/member/medicareHICN/transplantDateRanges/transplantDateRange","If 2750.N102 = ""Transplant""

When When DTP02 = D8, Populate DTP03 in
the format of YYYY-MM-DD
When DTP02 = RD8,
Populate the First set of date in DTP03 before the hyphen (-), in the
the format of YYYY-MM-DD",Yes. (refer Comments),This mapping is included in Adaptor map for the Product testing purpose.
,,,,,enrollment/member/medicareHICN/transplantDateRanges/transplantDateRange/endDate,"If 2750.N102 = ""Transplant""
When DTP02 = RD8,
Populate the second set of date in DTP03 after  the hyphen (-), in the
the format of YYYY-MM-DD",Yes. (refer Comments),This mapping is included in Adaptor map for the Product testing purpose.
2700,LE,"ADDITIONAL REPORTING CATEGORIES
LOOP TERMINATION",,,,,,
2700,LE01,Loop Identifier Code,Use the value 2700,,,,,
,SE,Transaction Set Trailer,,,,,,
,SE01,Number of Included Segments,Total number of segments included in the transaction set including ST and SE segments,,,Count Of ST,,
,SE02,Transaction Set Control Number,ST02 and SE02 must be identical,,,,,
,GE,Function Group Trailer,,,,,,
,GE01,Number of Transaction Sets Included,Total number of transactions set included in the group or interchange,,,,,
,GE02,Group Control Number,Submitter-specific number./GS06 and GE02 must be identical,,,,,
,IEA,Interchange Control Trailer,,,,,,
,IEA01,Number of Included Functional Groups,,,,,,
,IEA02,Interchange Control Number,A control number assigned by the interchange sender. ISA13 and IEA02 must be identical,,,,,
