Loop ID,Segment ID,Segment Name,Element Description,Enumeration Values,Enrollment Sparse_Field Name,Mapping Logic,Custom,Comments
2000,REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,"“F6” : Medicare HICN
""Q4"":: Prior Identifier Number
""ZZ"" :Mutually Defined
“D3” :National Council for Prescription Drug Programs Pharmacy Number“
17”: Client Reporting Category
23 Client Number
3H Case Number
4A Personal Identification Number
6O Cross Reference Number
ABB Personal ID Number
D3 National Council for Prescription Drug Programs
Pharmacy Number
DX Department/Agency Number
P5 Position Code
Q4 Prior Identifier Number
QQ Unit Number",/enrollment/member/qualifierList/qualifierName,,,
2000,REF02,Reference Identification,Member Supplemental Identifier,,/enrollment/member/qualifierList/qualifierValue,,,
,,,,,/enrollment/member/medicareHICN/mbi,IF REF01 = F6,,
2000,DTP,Member Level Dates,,,,,,
2000,DTP01,Date Time Qualifier,,Refer the tab Enumerations.,,,,
2000,DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",D8 : Date Expressed in Format CCYYMMDD,,,,
2000,DTP03,Date Time Period,Status Information Effective Date,,/enrollment/member/medicareHICN/effectiveDate,"Populate only when we have 2000.REF01* F6

If DTP01 = 338",,
,,,,,/enrollment/member/medicareHICN/expirationDate,"Populate only when we have 2000.REF01* F6

If DTP01 = 339",,
,,,,,enrollment/member/medicareHICN/esrdDateRanges/esrdDateRange/startDate,"Populate only when we have 2000.REF01* F6

If DTP01 = 338 and INS06-2  = 2",,
,,,,,enrollment/member/medicareHICN/esrdDateRanges/esrdDateRange/endDate,"Populate only when we have 2000.REF01* F6

If DTP01 = 339 and INS06-2  = 2",,
,,,,,/enrollment/member/medicareHICN/partADates/partADate/effectiveDate,"Populate only when we have 2000.REF01* F6

If DTP01 = 338 and INS06 - 1 = A or C",,
,,,,,/enrollment/member/medicareHICN/partADates/partADate/terminationDate,"Populate only when we have 2000.REF01* F6

If DTP01 = 339 and INS06 - 1 = A or C",,
,,,,,/enrollment/member/medicareHICN/partBDates/partBDate/effectiveDate,"Populate only when we have 2000.REF01* F6

If DTP01 = 338 and INS06 - 1 = B  or C",,
,,,,,/enrollment/member/medicareHICN/partBDates/partBDate/terminationDate,"Populate only when we have 2000.REF01* F6

If DTP01 = 339 and INS06 - 1 = B or C",,
,,,,,/enrollment/subscription/cobraSelectionList/CobraSelection/cobraStart,If DTP01 = 340,,
,,,,,/enrollment/subscription/cobraSelectionList/CobraSelection/cobraEnd,If DTP01 = 341,,
2100A — MEMBER NAME Loop Repeat: 1,,,,,,,,
2100A,NM1,Member Name,,,,,,
2100A,NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual","IL = Insured or Subscriber
74 : Corrected Insured",,,,
2100A,NM102,Entity Type Qualifier,Code qualifying the type of entity,1 = Person,,,,
2100A,NM103,Subscriber Last Name,Members last name,,/enrollment/member/individual/primaryName/lastName,,,
,,,,,enrollment/member/memberMatchData/subscriber/lastName,,,
,,,,,enrollment/member/memberMatchData/member/lastName,,,
2100A,NM104,Subscriber First Name,Members first name,,/enrollment/member/individual/primaryName/firstName,,,
,,,,,/enrollment/member/memberMatchData/subscriber/firstName,,,
,,,,,/enrollment/member/memberMatchData/member/firstName,,,
2100A,NM105,Subscriber Middle Name,Members middle initial,,/enrollment/member/individual/primaryName/middleName,,,
2100A,NM106,Subscriber Name Prefix,Member Name Prefix,,/enrollment/member/individual/primaryName/namePrefix,,,
2100A,NM107,Subscriber Name Suffix,Member Name Suffix,,/enrollment/member/individual/primaryName/nameSuffixList/suffix,,,
2100A,NM108,Identification Code Qualifier,Code designating the system/method of code structure used for Identification Code,"34 Social Security Number
ZZ Mutually Defined",,,,
2100A,NM109,Identification Code,Member Identifier,,/enrollment/member/individual/taxIdentificationNumber,"Format : XXX-XX-XXXX
NM108 = 34",,
,,,,,/enrollment/member/memberMatchData/subscriber/taxId,"If  NM108 = 34
Format : XXX-XX-XXXX",,
,,,,,/enrollment/member/memberMatchData/member/taxId,"Format : XXX-XX-XXXX
NM108 = 34",,
2100A,PER,Members Communications Numbers,,,,,,
2100A,PER01,Contact Function Code,Code identifying the major duty or responsibility of the person or group named,IP : Insured Party,,,,
2100A,PER02,Name,"Not used, leave blank",,,,,
2100A,PER03,Communication Number Qualifier,Code identifying the type of communication number,"AP Alternate Telephone
BN Beeper Number
CP Cellular Phone
EM Electronic Mail
EX Telephone Extension
FX Facsimile
HP Home Phone Number
TE Telephone
WP Work Phone Number","/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/addressPhoneList/telephoneNumber/individualPhoneTypeCode/codeSetName = IndividualPhoneType

/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/addressPhoneList/telephoneNumber/individualPhoneTypeCode/codeEntry",If PER03 is HP or WP OR TE or AP,,
2100A,PER04,Communication Number,,,/enrollment/member/physicalAddress/memberPhysicalAddress/emailAddress,If I PER03 is 'EM',,
,,,,,"/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/addressPhoneList/telephoneNumber/phoneAreaCode
/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/addressPhoneList/telephoneNumber/phoneNumber","If PER03 is HP or WP OR TE or AP

(Copy the first 3 digits to Area code and Copy the last 7 digits toPhone Numbers.)",,
2100A,PER05,Communication Number Qualifier,Code identifying the type of communication number,"AP Alternate Telephone
BN Beeper Number
CP Cellular Phone
EM Electronic Mail
EX Telephone Extension
FX Facsimile
HP Home Phone Number
TE Telephone
WP Work Phone Number","/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/addressPhoneList/telephoneNumber/individualPhoneTypeCode/codeSetName = IndividualPhoneType

/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/addressPhoneList/telephoneNumber/individualPhoneTypeCode/codeEntry",If PER05 is HP or WP OR TE or AP,,
2100A,PER06,Communication Number,,,/enrollment/member/physicalAddress/memberPhysicalAddress/emailAddress,If  PER05 is 'EM',,
,,,,,"/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/addressPhoneList/telephoneNumber/phoneAreaCode
/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/addressPhoneList/telephoneNumber/phoneNumber","If PER05 is HP or WP OR TE or AP

(Copy the first 3 digits to Area code and Copy the last 7 digits toPhone Numbers.)",,
2100A,PER07,Communication Number Qualifier,Code identifying the type of communication number,"AP Alternate Telephone
BN Beeper Number
CP Cellular Phone
EM Electronic Mail
EX Telephone Extension
FX Facsimile
HP Home Phone Number
TE Telephone
WP Work Phone Number","/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/addressPhoneList/telephoneNumber/individualPhoneTypeCode/codeSetName = IndividualPhoneType

/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/addressPhoneList/telephoneNumber/individualPhoneTypeCode/codeEntry",If PER05 is HP or WP OR TE or AP,,
2100A,PER08,Communication Number,,,/enrollment/member/physicalAddress/memberPhysicalAddress/emailAddress,If  PER07 is 'EM',,
,,,,,"/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/addressPhoneList/telephoneNumber/phoneAreaCode
/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/addressPhoneList/telephoneNumber/phoneNumber","If PER07 is HP or WP OR TE or AP

(Copy the first 3 digits to Area code and Copy the last 7 digits toPhone Numbers.)",,
2100A,N3,Members Street Address,,,,,,
2100A,N301,Members Address Line 1,Address line 1 – input should be up to 35 characters,,/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/postalAddress/address,,,
,,,,,"/enrollment/member/physicalAddress/memberPhysicalAddress/addressTypeCode/codeSetName as IndividualAddressType
/enrollment/member/physicalAddress/memberPhysicalAddress/addressTypeCode/Alternatives/codeEntry - hardcode as 2",,,
2100A,N302,Members Address Line 2,Address line 2 – input should be up to 35 characters,,/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/postalAddress/address2,,,
2100 A,N4,"Members City, State, and Zip Code",,,,,,
2100A,N401,City Name,Members city,,/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/postalAddress/cityName,,,
2100A,N402,State or Province Code,Members state or province,,"/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo
/postalAddress/stateCode",,,
2100A,N403,Postal Code,Member Postal Zone or Zip Code,,"/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/postalAddress/zipCode (byte 1-5)

/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/postalAddress/zipExtensionCode (byte 6-9)",,,
2100A,N404,Country Code,Code identifying the country,,/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/postalAddress/countryCode/countryCode,,,
2100A,N405,Location Qualifier,Code identifying type of location,"60 Area
CY County/Parish",,,,
2100A,N406,Location Identifier,Code which identifies a specific location,,/enrollment/member/physicalAddress/memberPhysicalAddress/addressInfo/postalAddress/countyCode,If N405 = CY,,
2100A,N407,Country Subdivision Code,Code identifying the country subdivision,,,,,
2100A,DMG,Member Demographics,,,,,,
2100A,DMG01,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",D8: Date Expressed in Format CCYYMMDD,,,,
2100 A,DMG02,Date Time Period,Member Birth Date,,/enrollment/member/individual/birthDate,Format :YYYY-MM-DD,,
,,,,,/enrollment/member/memberMatchData/subscriber/dateOfBirth,Format :YYYY-MM-DD,,
,,,,,/enrollment/member/memberMatchData/member/dateOfBirth,Format :YYYY-MM-DD,,
2100 A,DMG03,Gender Code,Code indicating the sex of the individual,"F: Female
M: Male
U: Unknown",/enrollment/member/individual/genderCode,"if DMG03 equal to M=Male,F=Female,U=Unknown",,
,,,,,/enrollment/member/memberMatchData/subscriber/gender,"if DMG03 equal to M=Male,F=Female,U=Unknown",,
,,,,,/enrollment/member/memberMatchData/member/gender,"if DMG03 equal to M=Male,F=Female,U=Unknown",,
2100A,DMG04,Marital Status Code,Code defining the marital status of a person,"B :Registered Domestic Partner
D :Divorced
I :Single
M :Married
R :Unreported
S :Separated
U :Unmarried
W :Widowed
X :Legally Separated",/enrollment/member/individual/maritalStatusCode,"Conversion Logic:
If DMG04 equal to
D=Divorced,
X Legally Separated,
M= Married,
B=Registered Domestic Partner,
S=Separated,
I=Single,
W=Widowed,
U=Unmarried,
R=Unreported",,
2100A,DMG05,"COMPOSITE RACE OR ETHNICITY
INFORMATION",,,,,,
2100A,DMG05 - 1,Race or Ethnicity Code,Code indicating the racial or ethnic background of a person,Refer the tab Enumerations.,"/enrollment/member/raceOrEthnicity/raceOrEthnicityCodes/Codeset name as RaceOrEthnicityCode
/enrollment/member/raceOrEthnicity/raceOrEthnicityCodes/codeEntry from DMG05 - 1",,,
2100A,DMG05 - 2,Code List Qualifier Code,Code identifying a specific industry code list,RET :Classification of Race or Ethnicity,,,,
2100A,DMG05 - 3,Industry Code,Race or Ethnicity Code,Refer the tab Enumerations.,,,,HRP codeset is not aligned to the EDI values. Need to check
2100A,DMG06,Citizenship Status Code,Code indicating citizenship status,"1: U.S. Citizen
2: Non-Resident Alien
3: Resident Alien
4: Illegal Alien
5: Alien
6 :U.S. Citizen - Non-Resident
7: U.S. Citizen - Resident","/enrollment/member/individual/immigrationStatusCode/Codeset name as  ImmigrationStatus
/enrollment/member/individual/immigrationStatusCode/codeEntry from DMG06",,,
2100A,AMT,Member Policy Amounts,,,,,,
2100A,AMT01,Amount Qualifier Code,,,,,,
2100A,AMT02,Monetary Amount,,,,,,
2100A,HLH,Member Health Information,,,,,,
2100A,HLH01,Health Related Code,Code indicating a specific health situation,"U 	Unknown
N 	None
S 	Substance Abuse
T 	Tobacco Use
X 	Tobacco and Substance Abuse",/enrollment/member/smokingStatus,"If HLH01 equal to
N=Non Smoker ,
U=Unknown ,
S=Smoker",,
2100A,HLH02,Height,Height reported in inches,,/enrollment/member/physicalCharacteristics/heightInchesCount,,,
